date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2005/8/28,706721,681685,660675,651505,646497,644956,666399,716274,791343,867902,924487,994139,1053074,1093778,1126168,1148240,1173240,1184357,1157563,1155501,1163280,1093801,992065,897588
2005/9/2,825615,788852,766090,757815,762006,801991,889850,947088,971244,1004670,1056952,1108212,1158957,1212991,1227104,1206992,1220726,1200272,1206385,1189630,1172860,1100743,1022094,918892
2005/9/3,841845,788501,736471,723154,709434,714301,730131,753742,834654,914574,959062,982347,1010043,1034291,1046208,1063111,1065861,1060345,1025974,979150,974331,910209,837170,761862
2005/9/4,697942,659507,630069,613363,608891,618560,643613,684148,765137,832150,876796,906793,934950,952473,962471,974698,989500,1002080,975571,943054,937903,888666,810021,736354
2005/9/9,760616,734728,707128,698602,714990,758689,854949,894645,902728,922526,946307,979138,1007752,1051488,1082331,1102161,1117915,1109098,1080928,1059290,1044560,993616,921992,854562
2005/9/17,829833,779943,758794,745456,737236,750475,776583,821165,899404,974689,1041395,1099421,1131608,1156756,1172055,1183116,1200187,1178605,1133600,1112298,1088207,1020969,933559,844943
2005/9/18,778828,728912,702337,682437,676364,675926,691664,734942,810474,886534,939986,968880,994130,1029771,1051258,1068867,1089858,1105841,1076298,1080102,1062367,984473,895004,807857
2005/9/23,827855,784546,760052,744930,759421,803840,915238,965895,991332,1043886,1121410,1172630,1226534,1259532,1222768,1192931,1172026,1157032,1160887,1168866,1148969,1087776,1009279,924742
2005/9/24,852495,801114,766640,755563,742846,752740,776813,816831,860137,889676,895931,889167,879028,865239,846384,843358,840762,846213,858816,878002,858888,820927,771728,714057
2005/9/25,672365,634554,616896,603544,610184,621355,643326,664901,747404,808085,833558,859439,877576,885807,885409,895274,908473,923013,929360,966176,965588,907298,838608,772958
2005/9/30,664721,647844,634700,638552,650409,705336,822658,869550,842588,811637,801592,806602,808746,803652,805821,807857,842541,852121,854000,879452,875332,853414,796617,737133
2005/10/1,684359,651597,636862,624549,630462,649423,684020,710443,778450,808931,802498,792903,789665,795738,800879,813757,829495,837126,831562,861894,853701,809475,756015,690060
2005/10/2,642374,624771,602911,599605,594598,606601,635632,676340,750243,784689,791860,802730,826699,842994,860411,879568,895362,915042,903823,945299,932053,859403,780884,716473
2005/10/7,779533,749743,737522,733541,737366,780237,892167,954536,959134,971312,985069,980829,981317,978690,971677,964711,973622,977700,1006177,1022285,991280,954110,904555,833611
2005/10/8,780256,738216,723705,710116,709154,727869,757993,800319,854983,919919,943660,929118,904837,895693,882562,869805,865319,874434,885560,893309,881760,830895,781517,718642
2005/10/9,663366,627143,614041,600254,598007,606957,631549,683450,753373,785887,794691,789699,792933,784162,774448,773083,779841,801739,832745,878214,874627,819496,759211,705362
2005/10/14,705715,684192,674174,668464,687064,739960,846276,903192,884589,889814,901735,865415,853517,846751,846898,843127,854498,862457,881186,905066,890865,857017,801635,737151
2005/10/15,691362,657303,636492,632971,636684,659526,698362,740911,794923,814041,817103,806759,802696,800947,798027,796877,817675,819577,834070,859374,845857,805197,753268,690297
2005/10/16,641939,614748,588871,587498,582562,600250,629087,680870,750356,788984,796308,791067,781537,773217,771034,782759,791096,821341,862165,906275,890596,836629,771091,706101
2005/10/21,718954,690373,677770,666910,687891,743383,842628,914501,904165,878561,890199,869822,893533,916420,910711,904965,918944,947569,978400,969423,942932,899275,852755,776786
2005/10/22,732966,693437,680255,664689,672376,678994,721897,776469,837996,880908,888957,879381,861368,847808,830164,819251,831265,856387,865139,861745,835610,805409,760598,714729
2005/10/23,679766,653456,646854,646347,649538,675618,707224,764502,830201,840325,823309,804701,775101,759356,754996,748425,757623,784419,841858,885168,836168,772737,716645,659068
2005/10/28,828092,806023,802544,803035,826003,887753,997806,1064380,1049795,1034149,1013944,984655,960392,941183,913747,897065,908765,939607,988908,1008267,999711,976084,942995,882385
2005/10/29,852480,837850,824966,823216,833946,866990,906509,966555,1016441,1022531,998817,969624,936066,899417,873499,851575,838610,859812,908268,934207,919401,899433,861538,807706
2005/10/30,764373,742846,736654,741024,758296,781162,832663,904101,927989,914590,876566,839809,816585,791915,778359,772764,800725,866252,914544,907660,895047,849734,798219,759468
2005/11/4,740882,728580,724479,734155,759048,829127,950542,979067,933181,907114,894710,876718,866583,853239,844354,837115,852718,905108,916843,915578,883831,850297,800426,738161
2005/11/5,695256,663331,650876,652760,660407,689556,734930,794297,820306,829948,815240,776248,768494,767147,758741,778423,795318,853191,872084,845572,808178,775971,726561,678074
2005/11/6,637797,614044,607861,605825,608353,627598,665506,724530,790462,817478,789356,781179,775007,772364,761195,762379,782007,851657,891926,874427,851882,800573,746219,685614
2005/11/11,826879,812722,811113,821749,843208,898366,981539,1022297,992466,995145,975376,945142,922489,901864,888348,875452,901972,993398,1021136,1014561,1002383,972141,935411,873424
2005/11/12,849827,830491,828238,837393,858146,881306,932879,981673,994917,956612,920343,873182,834952,810623,792714,783899,807817,895357,918382,907204,885724,859602,825827,775380
2005/11/13,745160,722671,720507,729309,735069,763922,801838,874289,917482,902689,865955,835542,805135,780530,768090,763448,792749,879178,894074,892929,868241,814047,755756,693085
2005/11/18,992711,983005,991389,997975,1035530,1077222,1170465,1197863,1145842,1135398,1110001,1062920,1032476,1004533,992742,994295,1037203,1137341,1161884,1164446,1155636,1133815,1088315,1034099
2005/11/19,1003662,980363,975810,988145,1010817,1051046,1100381,1149879,1140385,1089843,1044259,976575,938343,912522,877705,875309,914098,1009717,1025777,1011747,998308,977407,932879,884584
2005/11/20,844847,821159,813798,827323,843808,867145,913092,981147,1012022,987004,923089,877322,846600,824579,796527,796805,827124,928910,954742,957639,951492,912292,861019,811849
2005/11/25,928000,938404,943388,964305,993398,1030032,1090398,1128643,1144949,1128317,1090389,1045012,1000207,960262,933965,927309,986670,1084776,1084637,1082860,1089849,1093500,1084209,1045966
2005/11/26,1013059,1005711,994749,998958,1017714,1048233,1081884,1134126,1165720,1144718,1088182,1028585,974546,926133,899415,893343,931970,1033831,1059443,1063166,1043815,1000451,952176,906204
2005/11/27,861277,846543,850569,849941,868162,899394,946021,997596,1042963,1042699,996785,952589,935998,915522,913587,930168,980640,1033645,1039534,1025495,1004157,948194,875664,822000
2005/12/2,953544,942433,925580,926514,951882,1029058,1145616,1199751,1166238,1150774,1120944,1103946,1088289,1087570,1076506,1092769,1158664,1275648,1300645,1287731,1269355,1237134,1181192,1124382
2005/12/3,1074066,1053145,1049064,1067866,1073308,1105632,1156764,1218134,1248017,1236921,1191267,1131287,1089891,1057824,1048691,1058138,1100085,1167700,1169152,1152715,1121671,1097899,1054102,994648
2005/12/4,951729,919645,906556,905126,904467,918137,943646,1003115,1052867,1068025,1036483,1009361,973090,959423,933453,943139,994320,1094607,1097398,1100371,1087327,1045023,980524,914569
2005/12/9,1108341,1059895,1010174,1008755,1012303,1054637,1124360,1177952,1176640,1166035,1144415,1117550,1083562,1065940,1055804,1073611,1138430,1255374,1280582,1273640,1252017,1222691,1165272,1113098
2005/12/10,1078237,1065928,1074911,1086829,1109367,1154762,1207443,1271459,1296790,1244557,1182768,1119555,1074362,1035039,1007047,1009185,1053468,1163557,1178798,1170343,1160412,1125427,1081229,1025899
2005/12/11,985925,972874,975311,982976,981851,1012065,1051553,1111189,1153741,1129777,1101904,1072703,1058643,1052575,1025607,1037790,1084244,1146304,1157648,1156753,1135135,1090792,1033457,971300
2005/12/16,962284,953976,959125,958522,984044,1038637,1118177,1179830,1180163,1155115,1126676,1105132,1069835,1050746,1039450,1041972,1101998,1194742,1211197,1198705,1181595,1173462,1122405,1065505
2005/12/17,1029783,999814,993731,997789,1011456,1038799,1075122,1138763,1188483,1189626,1136170,1075549,1022541,995180,980635,988596,1034605,1138301,1160910,1151001,1152826,1136283,1097210,1046446
2005/12/18,1008734,980366,967403,966976,968719,993541,1027213,1093236,1160599,1143969,1080013,1020862,986397,956373,933765,929705,979760,1110341,1144931,1171040,1187801,1161594,1090459,1049693
2005/12/23,954759,928639,934040,944773,988901,1056179,1136692,1193776,1189668,1138305,1074656,1012409,960119,913414,887091,876260,912437,1022993,1053612,1050037,1046921,1019131,975743,914925
2005/12/24,864113,840327,843995,827980,823506,835976,879577,941151,971840,971847,928908,872933,828553,781646,773496,789845,816313,906240,920266,911332,915761,903781,850556,817350
2006/1/1,813068,783278,763518,751890,745894,762592,783375,833680,887178,909467,911759,889468,873471,845028,816065,808093,843223,948053,1003460,1010288,1012007,980721,933110,889195
2006/1/6,900171,875147,873895,880468,918365,987483,1106478,1180882,1160954,1144321,1137724,1081895,1067585,1048656,1043710,1078908,1128180,1203501,1212670,1199254,1192968,1208569,1153669,1091294
2006/1/7,1051771,1027466,1019937,1024984,1038536,1062474,1103604,1137249,1148109,1134088,1126341,1129923,1100921,1060972,1045946,1043310,1081273,1141859,1162283,1144947,1137511,1106103,1047634,992124
2006/1/8,949600,934849,921119,918014,931027,953575,997835,1059410,1102336,1091224,1059874,1026767,990766,964791,935917,916609,947107,1042800,1074871,1075921,1052818,999808,934670,876858
2006/1/13,844810,836593,839434,863161,892688,964417,1083587,1149153,1113539,1075720,1019976,983252,939969,918173,894479,885947,916678,979428,1001081,977076,953864,910438,854075,790786
2006/1/14,730941,713515,704490,709613,717732,741231,793578,846905,916749,972050,990771,993086,993747,1018280,1033510,1050108,1089865,1123265,1142263,1128971,1123459,1101868,1079406,1027185
2006/1/15,984859,963412,981411,1012186,1041230,1072445,1114389,1180130,1227252,1211410,1172213,1129568,1103739,1060531,1022193,1013212,1039271,1108983,1125283,1124518,1148518,1122722,1071349,1026290
2006/1/20,918126,904816,882877,886431,916757,979748,1099655,1124020,1066662,1012668,973343,941188,908919,905108,894909,873271,885715,958245,966451,944663,927826,895278,856527,811663
2006/1/21,793205,780602,781999,787647,805173,824867,881222,931070,981729,993972,964793,942107,915029,901898,885052,880392,891234,950324,996396,984191,967487,938305,907125,873636
2006/1/22,842507,828456,836078,850417,875103,912645,978856,1052297,1100987,1084945,1051479,1013013,986535,944532,940161,960143,989967,1018307,1047659,1038182,1040176,1018452,970805,919879
2006/1/27,1095976,1086896,1095391,1109710,1139288,1163559,1282362,1320286,1263558,1190906,1155515,1118028,1069383,1029710,982168,975365,992412,1078652,1143800,1151232,1137706,1115922,1060724,989890
2006/1/28,952898,930970,925471,924741,939576,970972,1006894,1067327,1100513,1076396,1028701,969511,899892,863214,826605,816024,825151,887647,940265,940177,939390,920821,892665,844875
2006/1/29,810820,801487,784798,760600,749454,766518,834086,908027,983818,1022223,1018678,1006870,979994,941823,898883,873461,872625,920307,979896,983925,952065,905879,840850,790721
2006/2/3,829257,814926,800214,795879,820471,876707,994180,1046151,1011868,973225,947777,934315,905337,883315,863086,851554,848542,889174,957571,941707,921808,901476,859277,823070
2006/2/4,793530,773355,763249,772199,779196,806710,847378,906691,966610,997930,1017725,1012963,988538,963248,951453,954606,971600,994484,1013349,987833,948128,920280,884386,836278
2006/2/5,796518,777928,787238,785894,796897,827127,870311,930827,1001530,1016534,1008977,993351,988989,965200,975336,987468,1013668,1081096,1115199,1111814,1118136,1092804,1054852,996638
2006/2/10,1089223,1084762,1089710,1107222,1136320,1194728,1268510,1292502,1248365,1229728,1223093,1184867,1151459,1102612,1065646,1043387,1064687,1121845,1178022,1173032,1157004,1125037,1085588,1027154
2006/2/11,977705,956046,934620,931886,933492,957490,1000981,1055707,1109788,1140452,1148206,1141823,1131168,1128698,1121279,1116457,1147639,1178310,1204990,1191094,1166896,1116061,1063557,1015798
2006/2/12,969928,951500,934066,930181,949600,973024,1004857,1055061,1106800,1125270,1114435,1095236,1076629,1063128,1049661,1056042,1082388,1140659,1210092,1217397,1202149,1160804,1110793,1067450
2006/2/24,934560,915730,913628,938131,972154,1058452,1190317,1234148,1186363,1139375,1114139,1076390,1052845,1027228,1005251,980348,989604,1039606,1127355,1154446,1159827,1147780,1107210,1067042
2006/2/25,1035015,1022756,1020133,1023396,1027901,1059262,1089032,1135830,1161192,1147023,1106927,1037753,975796,925427,890488,876070,868608,912969,982593,998064,995915,982672,963515,941561
2006/2/26,921367,918579,926857,927486,952115,993409,1045880,1112725,1158224,1173477,1153731,1135443,1112404,1090718,1072815,1061585,1085214,1143941,1243610,1265877,1270720,1230436,1156003,1118745
2006/3/3,921826,920402,933610,947493,990849,1068473,1197897,1218288,1156051,1131920,1106386,1070980,1050710,1034524,1016098,1003374,1033153,1091234,1194228,1213729,1209625,1178818,1132910,1069890
2006/3/4,1031989,1019261,1020976,1036169,1052471,1092681,1107192,1127014,1136023,1138930,1147453,1095923,1045501,998272,969212,949718,953627,988718,1075940,1099128,1089343,1063179,1019862,967134
2006/3/5,937470,914554,916910,931931,940686,972441,1000763,1043184,1066438,1050589,1014076,969417,944435,914206,880504,863233,874554,925790,1018912,1057937,1054965,1011653,957261,903161
2006/3/10,759609,739406,727454,719063,744694,801695,913043,946410,920231,904666,903924,885291,869986,858900,849256,837729,843679,848511,889582,918317,884567,847588,796774,724631
2006/3/11,675601,653815,637243,651906,666100,697800,746827,814616,842611,852476,834114,812568,792027,774926,755974,749039,754085,778226,824332,839923,809248,771875,718037,661555
2006/3/12,624693,598102,579220,582641,591565,604492,642261,709133,775829,810572,802905,793465,784046,775362,769590,769228,784853,812870,856089,886195,875079,819724,755029,695976
2006/3/17,821194,815236,813260,820350,853810,925097,1042540,1082103,1056913,1040826,1040641,1009816,983215,948585,935012,911712,913486,930718,1012554,1040163,1038872,1020580,986959,940731
2006/3/18,904413,895676,902063,906481,933144,979904,1025475,1074929,1088088,1087259,1063879,1023166,984818,951142,924149,917805,914889,949317,1028572,1060602,1041650,1024951,985805,948820
2006/3/19,916805,901463,898664,905355,920583,947990,998254,1030877,1053436,1048299,1005810,964240,939157,897480,868240,837026,839775,869601,950100,1015518,1010172,976330,924834,883953
2006/3/24,905744,898260,896309,907361,934507,1002311,1117789,1157968,1097719,1058180,1031421,989013,956811,934566,917472,917369,933135,968693,1013608,1037807,1023979,995757,949098,897681
2006/3/25,857979,859264,852708,864237,860194,910243,962883,1010079,1040316,1032408,991926,953087,931100,905858,884991,874465,889188,910684,960249,997357,987895,963096,939416,895925
2006/3/26,868270,862922,855569,874191,880413,905315,941996,991232,1012433,1014979,981358,941276,914471,893385,869317,864345,879310,913768,981084,1037150,1034117,991464,922440,875751
2006/3/31,723886,712123,715946,726087,752288,820867,926190,950828,877773,850493,842523,860329,857531,858639,860446,843724,854981,857842,896417,930139,901621,854542,792703,720472
2006/4/1,675248,651135,631453,621599,621490,644713,678963,740883,795714,817427,815089,798640,785878,788876,774579,770954,781818,794262,817511,851321,828598,789291,743595,681050
2006/4/2,641194,618324,611868,613101,606740,615588,637359,686519,751418,796830,806408,797353,781596,756556,743447,742933,739567,753067,765187,824695,876282,841914,775421,708450
2006/4/7,752129,731647,728387,729927,756736,818932,929603,976164,947726,946155,936946,916152,895535,882173,872396,858529,862055,864825,866711,859970,879929,874796,822279,756882
2006/4/8,702501,666166,652023,634550,642559,665927,687916,732652,800586,845618,874157,873820,865754,855953,855177,862398,872073,881992,902623,911700,950438,932570,897931,861270
2006/4/9,827216,814537,809481,820231,837999,862636,911137,963294,987093,990186,955076,910814,885814,851607,816654,793958,787208,794439,804779,850611,928111,923488,871105,815348
2006/4/14,691046,654783,634110,630258,641122,681050,748272,784537,812381,829396,834391,831098,813300,804185,795962,786546,801806,815511,819066,832437,867029,835611,772922,708408
2006/4/15,651781,623970,613398,610812,609868,617222,643374,693185,762553,808197,812090,809228,818833,812538,819430,831064,845248,857697,848556,844850,876818,852327,789287,705479
2006/4/16,637239,590922,563937,557539,556992,572624,602605,653646,733369,781065,770607,775569,769258,747994,726248,711491,705713,707534,725946,755313,815403,788821,727240,664876
2006/4/21,712845,682295,670459,667464,682913,733463,825976,883826,867347,875725,875009,875169,860021,853940,844652,841615,843365,875176,895413,901340,900540,861546,800650,737474
2006/4/22,681942,656922,644424,634271,619026,633177,666577,720083,791113,831564,859064,857551,837518,815535,812468,817792,823576,830973,834967,835640,835382,795416,753265,696570
2006/4/23,655711,631211,618232,616396,617966,634588,666038,714929,780744,819890,830596,823629,805859,782715,765923,764482,781303,790317,796407,822697,886598,853080,774807,711026
2006/4/28,715657,695624,704663,714170,731941,787865,884058,923667,893034,883050,874632,865106,856883,861176,847820,834724,832741,842981,834723,840720,888531,873975,822178,757707
2006/4/29,713332,697874,687751,689559,709789,746192,794859,830811,858925,851882,821611,797919,793500,777076,758880,757458,762598,771275,772081,781556,819591,804182,762851,699624
2006/4/30,657830,641160,639193,640136,657586,675624,710136,772153,824670,846439,822811,807870,778808,764899,746241,738883,744692,768440,785925,812745,878779,863115,788790,719971
2006/5/5,725555,687285,671783,660839,675181,719002,790226,833898,843458,855977,871125,879009,901438,898184,897709,898563,892523,890497,876882,871136,884383,870236,808195,742007
2006/5/6,677848,638991,618991,604427,578871,640061,637340,687841,759356,799772,821676,823563,813907,800250,788319,790537,803366,809530,807009,786692,809888,792247,739238,676701
2006/5/7,627042,599124,585559,581263,559790,577422,601236,656868,722872,757182,750985,738595,730991,726553,713668,726283,751715,786677,802175,830559,857246,814578,753328,688666
2006/5/12,711926,687683,680164,680618,704111,761354,869310,923767,903866,901905,891154,892084,877244,869141,860149,850376,848063,849134,843105,834710,857751,857004,812333,743431
2006/5/13,687503,652805,637053,634283,636021,659455,694132,745622,804728,815328,813897,801769,803851,798230,788504,789387,798924,797953,794071,790327,816678,801468,750629,687509
2006/5/14,638292,604150,596313,594788,594639,595266,621801,677386,749972,785974,787008,779044,766452,759731,750479,758792,757076,771180,780777,806844,849487,828842,771550,708629
2006/5/19,719919,692395,685631,689030,706810,767435,860486,919106,909932,892848,894611,891654,881391,876520,859916,856426,858302,883728,884227,884826,901925,889048,835982,763871
2006/5/20,708703,683055,651826,660305,666202,691113,725096,778565,824253,841040,819336,823554,795748,803633,793949,799403,805930,809044,804812,800927,813162,814924,765961,701516
2006/5/21,651460,621115,611332,612126,611327,616592,639507,698645,760227,791017,795042,786435,790421,796644,784533,783912,790449,806437,811706,826738,853092,857473,773289,696763
2006/6/2,843198,795445,808514,787926,795459,837207,921927,997369,1019145,1046883,1062191,1108027,1152350,1182760,1201242,1220225,1226334,1217097,1181417,1147262,1120621,1075567,983926,896208
2006/6/3,833086,779399,753393,733944,721392,734072,753452,804059,856284,884644,905469,912625,916976,911924,901722,900440,858606,844433,834813,822425,812171,837751,801824,725555
2006/6/4,676262,642659,621270,612575,606511,618371,622419,685698,759048,806203,821420,837506,847086,850161,844252,857014,876143,892367,890474,878350,885993,882568,816882,738890
2006/6/9,790350,755824,732277,711103,722425,758039,826692,892839,898663,931808,988385,1024169,1016738,1003601,1001010,1019716,1032590,1058810,1041355,1008567,982720,981914,913518,827504
2006/6/10,750163,701346,679041,661175,655603,659575,693023,747411,805952,834444,849498,848281,841245,839286,837414,842769,856472,868091,859221,836800,830240,835771,775928,704089
2006/6/11,651118,616060,597405,588687,583341,594571,606631,671865,745230,786864,802424,805791,811892,810469,811593,830744,844249,873676,872180,870337,883867,894060,828471,757201
2006/6/16,756692,718297,706440,695614,708766,731488,800281,864136,904932,940375,980503,1001488,1026604,1044140,1043690,1075564,1102629,1109695,1110451,1107787,1064724,1039006,964357,859594
2006/6/17,787127,744139,712860,697040,692403,686289,711168,772356,848871,921060,984525,1027923,1048433,1048155,1082820,1104873,1129036,1134140,1143266,1118771,1082389,1067102,993493,895661
2006/6/18,818562,756425,730056,709774,693980,693136,701281,776899,882532,993158,1077452,1146993,1198992,1222650,1234916,1262276,1282925,1292720,1276364,1228800,1213514,1190075,1094403,980725
2006/6/23,1011747,949411,909803,862608,781287,811940,866111,943711,1015998,1119330,1150274,1159440,1180346,1177804,1203247,1225241,1242703,1261813,1245361,1208411,1173941,1130925,1056371,954374
2006/6/24,867124,818122,783395,759544,751606,757965,776957,827857,891309,969481,1021090,1077938,1115211,1117342,1101582,1111023,1109440,1114632,1128395,1093063,1072919,1054079,992636,900570
2006/6/25,829196,791552,762944,752426,733092,722450,740302,787680,857527,914204,948846,993960,1028019,1035897,1019619,998619,992044,974904,994133,998845,996036,985215,926033,837690
2006/6/30,840803,789289,755368,728995,728350,757185,809810,890266,946176,987440,1035452,1070368,1084682,1121029,1145601,1170663,1182027,1187838,1167208,1116422,1047674,1026062,946196,851761
2006/7/1,769842,714736,692830,676958,676135,675051,685474,746447,831296,908253,972453,1034986,1072338,1114384,1134901,1154235,1176837,1178534,1153292,1098014,1044563,1025521,948231,870811
2006/7/2,788253,734076,697193,676051,665179,667271,678247,765047,880438,1001741,1089205,1166992,1227857,1255845,1238690,1258623,1273351,1264401,1208797,1155852,1103008,1077882,993688,894933
2006/7/7,780633,735118,705477,683734,684997,709936,762624,832530,873151,921494,954324,977379,1017151,1016764,1037524,1054785,1072465,1093947,1082235,1046431,1008692,999737,930894,840189
2006/7/8,764151,715425,691372,679513,669149,672736,690272,726313,784947,834986,874950,901512,925682,949562,989278,1023027,1038332,1035862,1015410,977091,960522,949523,894797,808127
2006/7/9,738039,686516,661156,641875,641995,639761,645232,706435,778717,855542,918323,968241,1005996,1035116,1042970,1059651,1072845,1091526,1070977,1043633,1029965,1012342,933374,848590
2006/7/14,909901,874167,846383,833630,837655,884266,953035,1028842,1091487,1148064,1204471,1262219,1264052,1243755,1257152,1271629,1269819,1282300,1282701,1247352,1213825,1188319,1096809,993900
2006/7/15,905073,866480,824963,808164,804332,813997,821444,866419,934254,999678,1078161,1143806,1184672,1198875,1229833,1263177,1299373,1304251,1289154,1226969,1178008,1150733,1068369,964848
2006/7/16,886907,827820,785338,758796,750306,742425,753082,830060,951342,1065043,1141301,1196132,1228266,1239506,1261284,1292368,1342398,1389271,1380720,1342123,1288596,1253585,1149120,1031091
2006/7/21,1003529,948873,911852,894274,890038,919259,973713,1051039,1108834,1150029,1235165,1313500,1346443,1349346,1341538,1330129,1316725,1333781,1311788,1272305,1256969,1226227,1139615,1042798
2006/7/22,963445,897636,865564,842952,835084,842134,862421,891485,958585,1054368,1129473,1174644,1184811,1196417,1188817,1195437,1216305,1227881,1218190,1161827,1118338,1099517,1032425,956513
2006/7/23,876669,816925,781918,758503,744900,732882,740805,790611,870435,936732,981839,1012644,1041137,1072743,1087203,1115438,1149343,1173409,1169906,1123588,1090669,1069665,976781,884503
2006/7/28,1031422,978352,943289,926950,923998,953519,1005585,1075611,1132787,1213779,1282388,1310064,1296796,1300360,1301262,1286068,1291395,1331769,1329505,1271824,1241437,1211698,1123811,1019364
2006/7/29,954784,904602,859817,830506,832600,828090,849474,912879,1029959,1122569,1211344,1253816,1266918,1300982,1328812,1340360,1346922,1335903,1335554,1316828,1266819,1232073,1143467,1059380
